name	author	downloadCount	description	creationTime	downloadRate
Create: No Fan	Roxxane	219	Add "_no_fan" to the end of the registry name of a smoking or smelting recipe...	420	0.5214285714285715
Liquid Burner	Ferri_Arnus	163000	Makes the Create Blaze Burners Accept liquids	929	175.45748116254038
[PROJECT REPLACED] Create: The Coolest Addon Ever	FalSociety	3200	A mod that adds small gadgets and tools to the Create Mod	513	6.237816764132553
Create: Basic Additions	SpokenWig620933	94600	Basic additions to the Create mod.	881	107.37797956867196
FTB Skies Companion	FTB	37600	Small mod that provides some helper tools to FTB Skies	432	87.03703703703704
FTB Rickety Water Wheel	FTB	113000	This adds just one block: a Water Wheel which acts exactly like Create's small Water...	432	261.5740740740741
Fractal Skylands Tweaks	SwanX1	456	Tweak mod for the (WIP) Fractal Skylands modpack!	1192	0.3825503355704698
Create: ComputerCraft (CC: Tweaked)	End_Rage	1900000	CC: Tweaked but with a design more fitting of the Create Mod	712	2668.5393258426966
Create: Extended Cogwheels	Rabbitminers	4900000	A small mod to add more cog types to create	905	5414.364640883978
Mopeds	abovearth	699000	Add copper mopeds that go vroom!	504	1386.904761904762
Create Crafts & Additions Plus	StarlightCraft	96300	An addon of Create: Crafts & Additions, adds realistic crafting recipe.	501	192.21556886227546
Calemi's Organized Crime	Calemi	9200	Adds custom content for Calemi's Organized Crime Modpack.	1033	8.906098741529526
Create: Recipe Everything	Klutzer	652	This mod introduces a variety of new items and blocks specifically designed to enhance and...	445	1.4651685393258427
Create: Irradiated	TT_TCS	34200	Adds radioactive materials to the Create mod!	635	53.85826771653543
Create Blue Skies Compat	celsiusqc	1700000	Adds compatibility recipes & items between Create and Blue Skies	762	2230.9711286089237
Create: Biomimicry	WitherTM	145000	The act of copying animals to improve your circumstances	737	196.74355495251018
Create: Blast Off!	drdeviousahh	10700	A create mod addon that adds moon related items.	484	22.107438016528924
Create: BlueprintVoid	xkball	5600	Similar to structure void in vanilla mc. When a schematic with blueprint void is printed,...	467	11.991434689507495
Create : Gravity	Sweetygamer	64800	🌌 Turns the Ender into the Moon	873	74.22680412371135
Dynamic Trees Create Compat	Amygdaloideae	76600	(Deprecated) Unofficial mixin mod to re-add compat for Mechanical Saw to cut Dynamic Trees	467	164.02569593147751
Recipe & rebirth	arnem16	125	Crafting innovation, obsidian creation.	467	0.2676659528907923
Create Camera	End_Rage	142000	The Create mod aesthetic on the Camera Mod	1245	114.05622489959839
Eureka! Create Airships!	End_Rage	160000	The Create mod aesthetic on Eureka!	878	182.23234624145786
ViboTech: Move Contraptions!	nostalgic_roentgen6266002	555	Enable controlling Create contraptions with CC-Tweaked computers.	480	1.15625
Creating space gravity addon (DISCONTINUED)	Gameingareyou	10200	Adds low gravity	492	20.73170731707317
Copper Lungs: Updated	laptoppunk	410	Create x Miner's Lung: Use the Copper Backtank in low-air areas	468	0.8760683760683761
